Font Name	Version	woff2	woff	ttf	eot	svg	Total Size
Tienne	13	25924	30904	57016	28491	117796	260131
Tillana	6	18080	22660	40196	20112	62550	163598
Timmana	5	10724	12908	20640	11764	26966	83002
Tinos	13	28000	34028	61408	26779	58718	208933
Titan One	8	10760	13768	25740	11694	69179	131141
Titillium Web	8	12356	16572	30036	14710	43156	116830
Tomorrow	3	7604	10496	20864	8648	34794	82406
Trade Winds	9	36444	42456	81212	40374	295523	496009
Trirong	5	20380	25280	50720	23024	63937	183341
Trocchi	9	21728	26216	44928	24397	83762	201031
Trochut	8	7780	10652	20980	8594	49806	97812
Trykker	9	12404	15608	22560	13387	81834	145793
Tulpen One	10	11624	15836	31132	15080	149991	223663
Turret Road	2	13304	17108	30016	15121	36116	111665
Ubuntu Condensed	10	28608	33052	62684	27446	60595	212385
Ubuntu Mono	9	27264	32176	55060	27671	58727	200898
Ubuntu	14	34260	39164	77256	31600	63335	245615
Ultra	12	13616	16736	28048	15463	111843	185706
Uncial Antiqua	8	19920	24004	43684	23261	105957	216826
Underdog	9	16768	20872	36648	19096	50594	143978
Unica One	7	6100	8848	17816	6725	42613	82102
UnifrakturCook	12	17208	20760	29988	18376	80684	167016
UnifrakturMaguntia	11	26252	31656	57396	28402	123335	267041
Unkempt	12	70692	84668	184252	80652	675423	1095687
Unlock	10	8268	11472	21216	9062	49976	99994
Unna	13	20476	24704	45156	23258	75778	189372
Vampiro One	11	13456	16572	24120	14752	62176	131076
Varela Round	12	20416	25220	51296	23464	82986	203382
Varela	10	19048	25272	50700	21799	43076	159895
Varta	1	11348	14504	23260	12799	55101	117012
Vast Shadow	10	22888	27812	52604	24628	140314	268246
Vesper Libre	12	13840	17412	26456	15420	77707	150835
Viaoda Libre	3	26932	32248	63144	30243	89318	241885
Vibes	2	17564	21192	34104	19472	75284	167616
Vibur	11	41744	50876	84420	48012	117712	342764
Vidaloka	12	30028	36788	78752	30009	80878	256455
Viga	8	8260	11460	19680	9000	50266	98666
Voces	10	17108	21496	42052	19313	57990	157959
Volkhov	11	27496	34104	70888	28034	55223	215745
Vollkorn SC	4	21716	25936	48864	24776	81828	203120
Vollkorn	12	21412	25320	49008	24209	98996	218945
Voltaire	10	9200	12272	23304	9920	65571	120267
VT323	11	17684	21656	75048	20511	142105	277004
Waiting for the Sunrise	11	18060	21408	34244	18965	115845	208522
Wallpoet	12	12500	16712	34432	15140	65828	144612
Walter Turncoat	11	60232	70164	147740	68765	565113	912014
Warnes	10	22072	27680	83932	24717	82802	241203
Wellfleet	8	15560	19720	38008	16919	106156	196363
Wendy One	9	7956	10980	19164	8677	49959	96736
Wire One	11	34212	42784	94360	34729	111189	317274
Work Sans	8	24212	29400	57280	28718	55244	194854
Yanone Kaffeesatz	15	19900	23748	42576	22771	79038	188033
Yantramanav	5	16680	21260	40360	18942	44621	141863
Yatra One	7	15672	19752	37740	17454	61227	151845
Yellowtail	10	18304	22388	34964	19915	117637	213208
Yeon Sung	8	21668	27668	48920	25457	74350	198063
Yeseva One	14	16652	20528	40408	18869	66250	162707
Yesteryear	8	23060	26972	45088	25468	150121	270709
Yrsa	5	26656	32192	64964	30333	82901	237046
